ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Character,CharacterVariants,Pinyin,WordFamily,FormVariants
MiddleChinese-1-mother-1,ā,MiddleChinese,1-mother,Ɂâ,Ɂâ,,,Schuessler2007,1,,,,阿,,ā,ā,
OldChinese-2-tiger-1,yú,OldChinese,2-tiger,*Ɂa,Ɂa,,,Schuessler2007,2,,,,於,,yú,ā,
LateHanChinese-2-tiger-1,yú,LateHanChinese,2-tiger,Ɂiɑ,Ɂiɑ,,,Schuessler2007,2,,,,於,,yú,ā,
MiddleChinese-2-tiger-1,yú,MiddleChinese,2-tiger,Ɂjwo,Ɂjwo,,,Schuessler2007,2,,,,於,,yú,ā,
MiddleChinese-3-Youngerbrother-1,ā-nú,MiddleChinese,3-Youngerbrother,Ɂâ-nuo,Ɂâ-nuo,,,Schuessler2007,3,,,,阿,阿奴,ā-nú,ā-nú,
OldChinese-4-Topity-1,āi,OldChinese,4-Topity,*Ɂə̂i,Ɂə̂i,,,Schuessler2007,4,,,,哀,,āi,āi,
LateHanChinese-4-Topity-1,āi,LateHanChinese,4-Topity,Ɂəi,Ɂəi,,,Schuessler2007,4,,,,哀,,āi,āi,
MiddleChinese-4-Topity-1,āi,MiddleChinese,4-Topity,Ɂậi,Ɂậi,,,Schuessler2007,4,,,,哀,,āi,āi,
OldChinese-7-Whitehairedold-1,ài1,OldChinese,7-Whitehairedold,*ŋâ(t)s,ŋâs,,,Schuessler2007,7,,,,艾,,ài,ài1,
LateHanChinese-7-Whitehairedold-1,ài1,LateHanChinese,7-Whitehairedold,ŋɑs,ŋɑs,,,Schuessler2007,7,,,,艾,,ài,ài1,
MiddleChinese-7-Whitehairedold-1,ài1,MiddleChinese,7-Whitehairedold,ŋâiᶜ,ŋâiᶜ,,,Schuessler2007,7,,,,艾,,ài,ài1,
OldChinese-8-Tolovetogrudge-1,ài2,OldChinese,8-Tolovetogrudge,*Ɂə̂s,Ɂə̂s,,,Schuessler2007,8,,,,愛,,ài,ài2,
LateHanChinese-8-Tolovetogrudge-1,ài2,LateHanChinese,8-Tolovetogrudge,Ɂəs,Ɂəs,,,Schuessler2007,8,,,,愛,,ài,ài2,
MiddleChinese-8-Tolovetogrudge-1,ài2,MiddleChinese,8-Tolovetogrudge,Ɂậiᶜ,Ɂậiᶜ,,,Schuessler2007,8,,,,愛,,ài,ài2,
OldChinese-9-Toloseone-1,ài3,OldChinese,9-Toloseone,*Ɂə̂ts,Ɂə̂ts,,,Schuessler2007,9,,,,僾,,ài,ài3,
LateHanChinese-9-Toloseone-1,ài3,LateHanChinese,9-Toloseone,Ɂəs,Ɂəs,,,Schuessler2007,9,,,,僾,,ài,ài3,
MiddleChinese-9-Toloseone-1,ài3,MiddleChinese,9-Toloseone,Ɂậiᶜ,Ɂậiᶜ,,,Schuessler2007,9,,,,僾,,ài,ài3,
OldChinese-11-Obstructhinder-1,ài5,OldChinese,11-Obstructhinder,*ŋə̂kh,ŋə̂kh,,,Schuessler2007,11,,,,礙,,ài,ài5,
LateHanChinese-11-Obstructhinder-1,ài5,LateHanChinese,11-Obstructhinder,ŋəᶜ,ŋəᶜ,,,Schuessler2007,11,,,,礙,,ài,ài5,
MiddleChinese-11-Obstructhinder-1,ài5,MiddleChinese,11-Obstructhinder,ŋậiᶜ,ŋậiᶜ,,,Schuessler2007,11,,,,礙,,ài,ài5,
OldChinese-12-Becalmpeacefulstillsteadytakeone-1,ān1,OldChinese,12-Becalmpeacefulstillsteadytakeone,*Ɂân,Ɂân,,,Schuessler2007,12,,,,安,,ān,ān1,
LateHanChinese-12-Becalmpeacefulstillsteadytakeone-1,ān1,LateHanChinese,12-Becalmpeacefulstillsteadytakeone,Ɂɑn,Ɂɑn,,,Schuessler2007,12,,,,安,,ān,ān1,
MiddleChinese-12-Becalmpeacefulstillsteadytakeone-1,ān1,MiddleChinese,12-Becalmpeacefulstillsteadytakeone,Ɂân,Ɂân,,,Schuessler2007,12,,,,安,,ān,ān1,
OldChinese-13-Topushdownwiththehand-1,àn,OldChinese,13-Topushdownwiththehand,*Ɂâns,Ɂâns,,,Schuessler2007,13,,,,按,,àn,ān1,
LateHanChinese-13-Topushdownwiththehand-1,àn,LateHanChinese,13-Topushdownwiththehand,Ɂɑnᶜ,Ɂɑnᶜ,,,Schuessler2007,13,,,,按,,àn,ān1,
MiddleChinese-13-Topushdownwiththehand-1,àn,MiddleChinese,13-Topushdownwiththehand,Ɂânᶜ,Ɂânᶜ,,,Schuessler2007,13,,,,按,,àn,ān1,
OldChinese-15-Saddle-1,ān3,OldChinese,15-Saddle,*Ɂân,Ɂân,,,Schuessler2007,15,,,,鞍,,ān,ān3,
LateHanChinese-15-Saddle-1,ān3,LateHanChinese,15-Saddle,Ɂɑn,Ɂɑn,,,Schuessler2007,15,,,,鞍,,ān,ān3,
MiddleChinese-15-Saddle-1,ān3,MiddleChinese,15-Saddle,Ɂân,Ɂân,,,Schuessler2007,15,,,,鞍,,ān,ān3,
OldChinese-16-Dumbsilent-1,ān4,OldChinese,16-Dumbsilent,*Ɂə̂m,Ɂə̂m,,,Schuessler2007,16,,,,喑,,ān,ān4,
LateHanChinese-16-Dumbsilent-1,ān4,LateHanChinese,16-Dumbsilent,Ɂəm,Ɂəm,,,Schuessler2007,16,,,,喑,,ān,ān4,
MiddleChinese-16-Dumbsilent-1,ān4,MiddleChinese,16-Dumbsilent,Ɂậm,Ɂậm,,,Schuessler2007,16,,,,喑,,ān,ān4,
OldChinese-17-Holdinthemouthputinthemouth-1,ǎn,OldChinese,17-Holdinthemouthputinthemouth,*Ɂə̂mɁ,Ɂə̂mɁ,,,Schuessler2007,17,,,,唵,,ǎn,ān4,
LateHanChinese-17-Holdinthemouthputinthemouth-1,ǎn,LateHanChinese,17-Holdinthemouthputinthemouth,Ɂəmᴮ,Ɂəmᴮ,,,Schuessler2007,17,,,,唵,,ǎn,ān4,
MiddleChinese-17-Holdinthemouthputinthemouth-1,ǎn,MiddleChinese,17-Holdinthemouthputinthemouth,Ɂậmᴮ,Ɂậmᴮ,,,Schuessler2007,17,,,,唵,,ǎn,ān4,
OldChinese-18-Pentup-1,yìn,OldChinese,18-Pentup,*Ɂəms,Ɂəms,,,Schuessler2007,18,,,,喑,,yìn,ān4,
LateHanChinese-18-Pentup-1,yìn,LateHanChinese,18-Pentup,Ɂimᶜ,Ɂimᶜ,,,Schuessler2007,18,,,,喑,,yìn,ān4,
MiddleChinese-18-Pentup-1,yìn,MiddleChinese,18-Pentup,Ɂjəmᶜ,Ɂjəmᶜ,,,Schuessler2007,18,,,,喑,,yìn,ān4,
OldChinese-22-Riverbank-1,àn2,OldChinese,22-Riverbank,*ŋâns,ŋâns,,,Schuessler2007,22,,,,岸,,àn,àn2,
LateHanChinese-22-Riverbank-1,àn2,LateHanChinese,22-Riverbank,ŋɑnᶜ,ŋɑnᶜ,,,Schuessler2007,22,,,,岸,,àn,àn2,
MiddleChinese-22-Riverbank-1,àn2,MiddleChinese,22-Riverbank,ŋânᶜ,ŋânᶜ,,,Schuessler2007,22,,,,岸,,àn,àn2,
OldChinese-23-Cliff-1,hàn,OldChinese,23-Cliff,*hŋâns,hŋâns,,,Schuessler2007,23,,,,厂,,hàn,àn2,
LateHanChinese-23-Cliff-1,hàn,LateHanChinese,23-Cliff,hɑnᶜ,hɑnᶜ,,,Schuessler2007,23,,,,厂,,hàn,àn2,
MiddleChinese-23-Cliff-1,hàn,MiddleChinese,23-Cliff,xânᶜ,xânᶜ,,,Schuessler2007,23,,,,厂,,hàn,àn2,
OldChinese-24-Riverbank-1,hǔ,OldChinese,24-Riverbank,*hŋâɁ,hŋâɁ,,,Schuessler2007,24,,,,滸,,hǔ,àn2,
LateHanChinese-24-Riverbank-1,hǔ,LateHanChinese,24-Riverbank,hɑᴮ,hɑᴮ,,,Schuessler2007,24,,,,滸,,hǔ,àn2,
MiddleChinese-24-Riverbank-1,hǔ,MiddleChinese,24-Riverbank,xuoᴮ,xuoᴮ,,,Schuessler2007,24,,,,滸,,hǔ,àn2,
OldChinese-25-Adeepblack-1,àn3,OldChinese,25-Adeepblack,*Ɂə̂mɁ,Ɂə̂mɁ,,,Schuessler2007,25,,,,黯,,àn,àn3,
LateHanChinese-25-Adeepblack-1,àn3,LateHanChinese,25-Adeepblack,Ɂəmᴮ,Ɂəmᴮ,,,Schuessler2007,25,,,,黯,,àn,àn3,
MiddleChinese-25-Adeepblack-1,àn3,MiddleChinese,25-Adeepblack,Ɂậmᴮ,Ɂậmᴮ,,,Schuessler2007,25,,,,黯,,àn,àn3,
OldChinese-26-Bedark-1,àn,OldChinese,26-Bedark,*Ɂə̂ms,Ɂə̂ms,,,Schuessler2007,26,,,,暗,暗闇,àn,àn3,
LateHanChinese-26-Bedark-1,àn,LateHanChinese,26-Bedark,Ɂəmᶜ,Ɂəmᶜ,,,Schuessler2007,26,,,,暗,暗闇,àn,àn3,
MiddleChinese-26-Bedark-1,àn,MiddleChinese,26-Bedark,Ɂậmᶜ,Ɂậmᶜ,,,Schuessler2007,26,,,,暗,暗闇,àn,àn3,
OldChinese-29-Asmallmouthedlargebelliedearthenjarforfetchingwater-1,àng,OldChinese,29-Asmallmouthedlargebelliedearthenjarforfetchingwater,*Ɂâŋh,Ɂâŋh,,,Schuessler2007,29,,,,盎,,àng,àng,
LateHanChinese-29-Asmallmouthedlargebelliedearthenjarforfetchingwater-1,àng,LateHanChinese,29-Asmallmouthedlargebelliedearthenjarforfetchingwater,Ɂɑŋᶜ,Ɂɑŋᶜ,,,Schuessler2007,29,,,,盎,,àng,àng,
MiddleChinese-29-Asmallmouthedlargebelliedearthenjarforfetchingwater-1,àng,MiddleChinese,29-Asmallmouthedlargebelliedearthenjarforfetchingwater,Ɂâŋᶜ,Ɂâŋᶜ,,,Schuessler2007,29,,,,盎,,àng,àng,
