ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Description
1-mother,mother,,,1-mother,"  A vernacular prefix added to kinship terms, personal names and personal pronouns, e.g. Mand. ā-mǔ 阿母 ‘mother’ [Han texts], ā-nú  阿奴 ‘younger brother’, ā-shuí  阿誰 ‘who’, ā-nǐ 阿你 ‘you’ (Norman 1988: 113); Yuè-Guǎngzhōu a³³-ma⁵⁵ (Ɂaᶜ¹-maᴬ¹) 阿媽 ‘mother, mama’, a³³-ma²¹ (Ɂaᶜ¹-maᴬ²) 阿雙 ‘grandmother’.  ||  [E] ST: PTB *Ɂa- is a prefix for kinship terms, body parts or nouns in general, depending on the language (STC: 121-123), e.g. WB ə-tʰaŋ ‘thought’ < tʰaŋ ‘think’, ə-pʰuiᴮ ‘grandfather’; WT Ɂa-kʰu ‘uncle, husband’. "
2-tiger,tiger,,,2-tiger,"  Occurs already in Zuǒzhuàn prefixed to the Chǔ dialect word for → hǔ1 虎 ‘tiger’. Unger (Hao-ku 33, 1986) suggests that certain words with MC initial Ɂ-  might be the result of a fusion of this prefix with the following stem (§5.11).   "
3-Youngerbrother,Younger brother,,,3-Youngerbrother,"  ‘Younger brother’ [Jìn Dyn.] (Norman 1988: 113).  ||  [E] For phonological and semantic reasons, this word is prob. not related to rú 孺 *no ‘child’ (under → rú4 懦臑 ‘weak’), nor to → rǔ3 乳 ‘milk’. It may be connec ted to PTB *naːw (STC no. 271): Lushai nauᴴ < nau ‘child, younger brother or sister, younger cousin’ etc., JP kə³¹-nau³³ ‘younger brother / sister’, WT nu-bo ‘man’s younger brother’. The putative OC final *ā cannot be reconciled with PTB *āːw, though; perh. the CH word has been re-etymologized, or only committed to writing after *a > MC o. "
4-Topity,To pity,,,4-Topity,  ‘To pity’ [Shi] is prob. a sound-symbolic word. 
7-Whitehairedold,"White-haired, old",,,7-Whitehairedold,"  ‘White-haired, old’ [Shi], possibly related to TB items under → yuè1 月 ‘moon’, but the vowels do not agree.  ||  [T] Sin Sukchu SR ŋaj (去); MGZY ŋay (去) [ŋaj] "
8-Tolovetogrudge,"To love, to grudge",,,8-Tolovetogrudge,"  ‘To love, to grudge’ [Shi] > Mand. ‘to like, be fond of’.   ||  [T] Sin Sukchu  SR Ɂaj (去); MGZY ’ay (去) [Ɂaj]; ONW Ɂɑiᶜ   ||  [E] ST: TB-PKaren *ʔai (Matisoff BSOAS 63.3, 2000: 364). Or MK *sʔəəc, *sʔaac ‘to love, pity’ (Shorto 2006 #798a)."
9-Toloseone,To lose one,,,9-Toloseone,  ‘To lose one’s breath’ [Shi] is a sound-symbolic word (§2.9)  
11-Obstructhinder,"Obstruct, hinder",,,11-Obstructhinder,"  ‘Obstruct, hinder’ [Lie].   ||  [T] Sin Sukchu  SR ŋaj (去); MGZY ngay (去) [ŋaj]; ONW ŋɑiᶜ   ||  [E] ? ST: WT ’geg(s)-pa, bkag, dgag ‘to hinder, prohibit, shut’ ᛝ ’gag ‘obstruction, stoppage’ (Bodman 1980: 72); PLB *Ɂgak ‘obstruct, block up’. TB voiced stops do occasionally correspond to Chinese initial nasals (§5.12.2). Alternatively, WT could be compared with → gù1 固. CH ài may be related to → yí13 疑 ‘hesitate’. "
12-Becalmpeacefulstillsteadytakeone,"Be calm, peaceful, still, steady, take one",,,12-Becalmpeacefulstillsteadytakeone,"  ‘Be calm, peaceful, still, steady, take one’s leisure’ [BI, Shi].   ||  [T] Sin Sukchu SR Ɂɔn (平); PR Ɂan; LR Ɂan; MGZY ’an (平) [Ɂan]; ONW Ɂɑn. "
13-Topushdownwiththehand,To push down with the hand,,,13-Topushdownwiththehand,"  ‘To push down with the hand’ [SW], ‘to stop, repress’ [Shi], ‘lay hand on, seize’ [Xun]; ‘stool, tray’ 案 [Zhouli].  ||  [<] exoactive of ān (§4.3), lit. ‘cause to be settled, calmed’.   ||  [C] Boltz (1994: 95ff) includes additional words which are written with this phonetic (GSR 146), such as → ān3 鞍. A parallel stem (§2.5) is → yàn1 宴燕 (Wáng Lì 1982: 543). → yǎn5 偃 is prob. a different etymon. "
