ENTRY	REPLACEMENT	COMMENT
chè₂ 徹撤 ⪤ ? shì 適	shì 適	
chǎn₂ 嘽幝繟 ⪤ ? shàn 禪	 ?shàn 禪	
chǐ₃ 侈哆移 ⪤Perh. chì 斥	chì 斥
fù₇ 阜 ~ fù-lóu 附婁	fù-lóu 附婁
fú₁₇ 蜉 ~ fú-yóu 蜉蝣	fú-yóu 蜉蝣
fú₁₇ 蜉 ~ pí-fú 蚍蜉	pí-fú 蚍蜉
gōu₁ 句鉤枸區 ⪤? yǔ 傴	yǔ 傴
chǎn₂ 嘽幝繟 ⪤ ? shàn 禪	shàn 禪
tián₂ 恬 ⪤ ? dàn 憺澹	dàn 憺澹
huí 回 ⪤ huí-yù 回遹	huí-yù 回遹
háng₄ 航杭 ⪤ huáng 艎, bàng 艕	huáng 艎
jiào₇ 僬潐醮 ⪤Perh. qiǎo 悄	qiǎo 悄	
jiǎo₂ 姣佼 ⪤Perh. liáo 僚	liáo 僚	
jiǎ₁ 甲 ⪤Perh. jiá 鞈	jiá 鞈	
jù₂ 沮 ⪤Perh. jù 沮	jù 沮	
tián₂ 恬 ⪤ ? dàn 憺澹	dàn 憺澹
dān₁ 丹 ⪤ gān 矸	dān₁-gān 丹矸
jù₆ 據 ⪤Perh. jū 拘	jū 拘	
jǐ₅ 擠 ⪤Perh. jì 癠	jì 癠	
liàn₂ 湅練鍊 ⪤Perh. xiàn 僩	xiàn 僩	
liáo₅ 膋 ⪤Perh. yú 腴	yú 腴	
lái₁ 來 ⪤Perh. lì 戾	lì 戾	
lǚ₄ (?) 鋁	lǚ₄ 鋁	
něi 餒 ⪤Perh. nì 惄	nì 惄	
pái 箄𥴖𥱼𤀥…	pái 箄𥴖𥱼𤀥
pá₁ 爬 = pú-fú 匍匐	pú-fú 匍匐
qiáng 強彊 ⪤Perh. jìng 勁	jìng 勁	
qún 群 ⪤Perh. kūn 昆	kūn 昆	
tián₂ 恬 ⪤ ? dàn 憺澹	 ? dàn 憺澹	
tián₂ 恬 ⪤ ? dàn 憺澹	 dàn 憺澹	
tà₁ 誻沓 ⪤Perh. yì 詍	yì 詍	
tán₈ 談 ⪤Perh. zhān 詹	zhān 詹	
tì₄ 惕 ⪤ ? shì 適	 shì 適	
tì₄ 惕 ⪤ ? shì 適	shì 適	
tǐng₃,dìng 梃,鋌	tǐng₃ 梃鋌	
tǐng₃,dìng 梃,鋌 ⪤ tíng 莛筳	tíng 莛筳	
yú₇ 畬 ⪤Perh. shē 畬	shē 畬	
yǔ₆ 語 ⪤Perh. yàn 唁諺	yàn 唁諺	
zhì₇ 阤,陊 ⪤ shǐ 弛	shǐ 弛	
zhēn₂ 斟 ⪤Perh. shèn 甚	shèn 甚	
zhī₆ 隻 ⪤ ? shì 適	shì 適
zì₄ 剚 ⪤Perh. zǐ 耔	zǐ 耔	
zōu₂ 騶 ⪤ cǒu-mǎ (qū-mǎ) 趨馬	cǒu-mǎ 趨馬	
ér₅ 唲 ⪤ rú-ér 嚅唲, 儒兒	rú-ér 嚅唲	
é₂ 娥 (in héng-é 姮娥)	héng-é 姮娥
