Grapheme	IPA
$	NULL
-	+
-$	NULL
.	NULL
3	NULL
3_$	NULL
4	NULL
4$	NULL
?	NULL
^	NULL
^-	NULL
^=_-	NULL
^?$	NULL
^?-	NULL
^C-	NULL
^_	NULL
^b	b
^bw	b w
^bɛnᶜ_?	b ɛ n ᶜ/³
^d	d
^dzə̂I_	dz ə̂i/əi
^dź	dʑ
^dẓ	ɖʐ
^e	e
^g	g
^g$	g
^gw	g w
^h	h
^hw	h w
^iᶜ$	i ᶜ/³
^j	j
^jw	jw/ɥ
^k	k
^k$	k
^kh	kʰ
^khw	kʰ w
^kw	kʷ
^kʰ	kʰ
^kʰw	kʰ w
^l	l
^lh	lh/l̥
^m	m
^mw	m w
^n	n
^nh	nh/n̥
^nw	n w
^nź	ʑ
^o	o
^p	p
^ph	pʰ
^pw	p w
^pʰ	pʰ
^r	r
^rh	rh/r̥
^s	s
^sw	s w
^t	t
^th	tʰ
^ts	ts
^tsh	tsʰ
^tsw	ts w
^tsʰ	tsʰ
^tsʰw	tsʰ w
^tś	tɕ
^tśek	tɕ e k
^tśʰ	tɕʰ
^tʰ	tʰ
^tṣ	ʈʂ
^tṣʰ	ʈʂʰ
^u	u
^w	w
^x	x
^xw	x w
^z	z
^zw	z w
^ń	ȵ
^ńź	ʑ
^ŋ	ŋ
^ŋh	ŋh/ŋ̊
^ŋw	ŋ w
^ś	ɕ
^śjäk	ɕ j ä/æ k
^św	ɕ w
^ź	ʑ
^źw	ʑ w
^ə	ə
^ɣ	ɣ
^ɣw	ɣ w
^ɦ	ɦ
^ʔ	ʔ
^ʔw	ʔ w
^ḍ	ɖ
^ḍw	ɖ w
^ṇ	n̩
^ṣ	ʂ
^ṣw	ṣ w
^ṣwanᶜ	ʂ w a n ᶜ/³
^ṣwi	ʂ w i
^ṣwiᶜ	ʂ w i ᶜ/³
^ṭ	ʈ
^ṭhʰ	ʈʰ
^ṭw	ʈ w
^ṭʰ	ʈʰ
^凱$	
_	NULL
_$	NULL
_2$	NULL
_3$	NULL
_4	NULL
_4$	NULL
_?$	NULL
_LH	NULL
_PMin_heᴮ.$	NULL
_…$	NULL
a	a
a$	a
ai	ai
au	au
aᴬ$	a ᴬ/¹
aᴮ$	a ᴮ/²
aᶜ$	a ᶜ/³
b	b
d	d
dź	dʑ
dź$	dʑ
dẓ	ɖʐ
e	e
e$	e
ei	ei
eu	eu
eᴮ	e ᴮ/²
eᴮ$	e ᴮ/²
eᶜ	e ᶜ/³
eᶜ$	e ᶜ/³
g	g
gᴮ$	g ᴮ/²
h	h
h$	h
i	i
i$	i
ii	ii/i
iᴮ	i ᴮ/²
iᴮ$	i ᴮ/²
iᶜ	i ᶜ/³
iᶜ$	i ᶜ/³
j	j
jw	ɥ
k	k
k$	k
kh	kʰ
kh$	k h/²
ks$	k s
kʰ	kʰ
l	l
lh	lh/l̥
m	m
m$	m
ms	m s
ms$	m s
mᴬ$	m ᴬ/¹
mᴮ	m ᴮ/²
mᴮ$	m ᴮ/²
mᶜ	m ᶜ/³
mᶜ$	m ᶜ/³
n	n
n!$	n
n$	n
nh$	n h/²
ns	n s
ns$	n s
nᴬ!$	n ᴬ/¹
nᴬ$	n ᴬ/¹
nᴬ²	n ᴬ/²
nᴮ	n ᴮ/²
nᴮ$	n ᴮ/²
nᶜ	n ᶜ/³
nᶜ$	n ᶜ/³
o	o
o$	o
oi	oi
ou	ou
oᴬ$	o ᴬ/¹
oᴮ	o ᴮ/²
oᴮ$	o ᴮ/²
oᶜ	o ᶜ/³
oᶜ$	o ᶜ/³
p	p
p$	p
ps	p s
pʰ	pʰ
r	r
rw	r w
s	s
s$	s
t	t
t$	t
th	tʰ
th$	t h/²
ts	ts
ts$	ts
tśw	tɕ w
tśʰ	tɕʰ
tśʰw	tɕʰ w
tʰ	tʰ
tṣ	ʈʂ
tṣh	tʂʰ
tṣʰ	ʈʂʰ
tṣʰw	ʈʂʰ w
u	u
u$	u
ui	ui
uᴬ$	u ᴬ/¹
uᴮ	u ᴮ/²
uᴮ$	u ᴮ/²
uᶜ	u ᶜ/³
uᶜ$	u ᶜ/³
w	w
xw	x w
y	y/j
z	z
zw	z w
â	â/a
â$	â/a
âh	â/a h/²
âh$	â/a h/³
âi	âi/ai
âs$	â s
âᴮ	â/a ᴮ/²
âᴮ$	â/a ᴮ/²
âᶜ	â/a ᶜ/³
âᶜ$	â/a ᶜ/³
ä	ä/æ
å	å/ɑ
ê	ê/e
ê$	ê/e
êh	ê/e h/²
êh$	ê/e h/³
êi	êi/ei
ês	ê s
ês$	ê/e s
î	î/i
î$	î/i
îh	î/i h/²
îh$	î/i h/²
îs$	î/i s
ô	ô/o
ô$	ô/o
ôh$	ô/o h/²
ôi	ôi/oi
ôs$	ô/o s
û	û/u
û$	û/u
ûh$	û/u h
ûi	ûi/ui
ûs$	û/u s
ā	ā/a
ă	ă/a
ń	ȵ
ńź	ńź/ȵ
ńźw	ńź/ȵ w
ŋ	ŋ
ŋ$	ŋ
ŋh	ŋh/ŋ̊
ŋh$	ŋh/ŋ̊
ŋᴬ$	ŋ ᴬ/¹
ŋᴮ	ŋ ᴮ/²
ŋᴮ$	ŋ ᴮ/²
ŋᶜ	ŋ ᶜ/³
ŋᶜ$	ŋ ᶜ/³
ś	ɕ
ɐ	ɐ
ɑ	ɑ
ɑ$	ɑ
ɑi	ɑi
ɑu	ɑu
ɑᴮ	ɑ ᴮ/²
ɑᴮ$	ɑ ᴮ/²
ɑᶜ	ɑ ᶜ/³
ɑᶜ$	ɑ ᶜ/³
ɔ	ɔ
ə	ə
ə$	ə
əi	əi
əu	əu
ə̂	ə̂/ə
ə̂$	ə̂/ə
ə̂i	ə̂i/əi
əᴮ$	ə ᴮ/²
əᶜ$	ə ᶜ/³
ɛ	ɛ
ɛ$	ɛ
ɛi	ɛi
ɛᴮ	ɛ ᴮ/²
ɛᴮ$	ɛ ᴮ/²
ɛᶜ	ɛ ᶜ/³
ɛᶜ$	ɛ ᶜ/³
ɣ	ɣ
ɨ	ɨ
ɨ$	ɨ
ɨᴮ	ɨ ᴮ/²
ɨᴮ$	ɨ ᴮ/²
ɨᶜ	ɨ ᶜ/³
ɨᶜ$	ɨ ᶜ/³
ʔ	ʔ
ʔ$	ʔ
˗	+
ᴬ	ᴬ/¹
ᴮ	ᴮ/²
ᶜ	ᶜ/³
ḍ	ɖ
ṇ	n̩
ṣ	ʂ
ậ	ậ/ɑ
ậi	ậi/ɑi
