Grapheme	IPA	Frequency
→	+	
ɑ	ɑ	623
u	u	614
i	i	517
$	NULL	469
ɨ	ɨ	415
k$	k	384
a	a	375
^k	k	361
ŋ$	ŋ	360
e	e	293
n$	n	275
^d	d	245
^g	g	235
t$	t	219
^l	l	215
ə	ə	202
^m	m	196
^p	p	182
o	o	165
^ʔ	ʔ	162
nᶜ$	n ᶜ/³	154
^s	s	152
^b	b	150
^kʰ	kʰ	146
^j	j	141
s$	s	140
ᴮ	ᴮ/²	138
ɑi	ɑi	135
nᴮ$	n ᴮ/²	124
ŋᶜ$	ŋ ᶜ/³	112
ŋᴮ$	ŋ ᴮ/²	109
^ŋ	ŋ	108
ᶜ	ᶜ/³	108
^ts	ts	106
^tś	tɕ	105
ɑ$	ɑ	102
m$	m	101
^h	h	101
^t	t	93
^ś	ɕ	93
z	z	92
ɑᴮ$	ɑ ᴮ/²	90
p$	p	90
^ḍ	ɖ	89
_$	NULL	87
y	y/j	86
ɛ	ɛ	82
u$	u	80
^ń	ȵ	77
^tsʰ	tsʰ	76
^tʰ	tʰ	75
^w	w	73
mᴮ$	m ᴮ/²	72
ɑᶜ$	ɑ ᶜ/³	70
au	au	66
ou	ou	64
^pʰ	pʰ	62
^ṣ	ʂ	62
o$	o	61
^dź	dʑ	60
^ṭ	ʈ	59
ui	ui	53
ə$	ə	52
oᶜ$	o ᶜ/³	52
ɑu	ɑu	51
^n	n	51
əᴮ$	ə ᴮ/²	50
-	+	46
əᶜ$	ə ᶜ/³	44
ɔ	ɔ	44
uᶜ$	u ᶜ/³	44
oᴮ$	o ᴮ/²	43
ei	ei	42
i$	i	41
^z	z	41
^ɣ	ɣ	40
e$	e	36
^tśʰ	tɕʰ	36
mᶜ$	m ᶜ/³	35
eu	eu	33
uᴮ$	u ᴮ/²	32
n	n	27
^ź	ʑ	27
eᶜ$	e ᶜ/³	26
^tṣʰ	ʈʂʰ	26
əi	əi	25
aᶜ$	a ᶜ/³	25
a$	a	24
aᴮ$	a ᴮ/²	24
ai	ai	24
eᴮ$	e ᴮ/²	24
iᴮ$	i ᴮ/²	24
^tṣ	ʈʂ	24
t	t	24
^ṇ	n̩	24
^dẓ	ɖʐ	23
^ṭʰ	ʈʰ	22
iᶜ$	i ᶜ/³	18
s	s	18
_?$	NULL	17
ɨ$	ɨ	14
nᶜ	n ᶜ/³	12
l	l	11
k	k	10
ɛi	ɛi	9
ɛᴮ$	ɛ ᴮ/²	8
nᴮ	n ᴮ/²	8
^kw	kʷ	8
ɛᶜ$	ɛ ᶜ/³	7
h$	h	7
d	d	7
ɨᴮ$	ɨ ᴮ/²	6
ɛ$	ɛ	6
oi	oi	6
ʔ$	ʔ	6
ŋ	ŋ	6
m	m	5
p	p	4
j	j	4
ŋᴮ	ŋ ᴮ/²	4
ḍ	ɖ	3
^hw	h w	3
^x	x	3
^tśek	tɕ e k	2
ń	ȵ	2
b	b	2
oᴮ	o ᴮ/²	2
kʰ	kʰ	2
ɛᶜ	ɛ ᶜ/³	2
^gw	g w	2
h	h	2
^ɣw	ɣ w	2
r	r	2
^bɛnᶜ_?	b ɛ n ᶜ/³	1
^ṭhʰ	ʈʰ	1
n!$	n	1
oᶜ	o ᶜ/³	1
^=_-	NULL	1
ɑᶜ	ɑ ᶜ/³	1
g	g	1
^k$	k	1
ɣ	ɣ	1
ɑᴮ	ɑ ᴮ/²	1
ṇ	n̩	1
ʔ	ʔ	1
^r	r	1
^kh	kʰ	1
^ʔw	ʔ w	1
mᴮ	m ᴮ/²	1
ts	ts	1
ŋᴬ$	ŋ ᴬ/¹	1
ṣ	ʂ	1
eᶜ	e ᶜ/³	1
.	NULL	1
^e	e	1
th	tʰ	1
_	NULL	1
ɛᴮ	ɛ ᴮ/²	1
^-	NULL	1
eᴮ	e ᴮ/²	1
