Grapheme	IPA	Frequency
→	→	
j	j	1364
i	i	684
u	u	679
$	NULL	593
e	e	422
ä	ä/æ	397
â	â/ɑ	388
k$	k	381
jw	ɥ	378
ŋ$	ŋ	367
ə	ə	365
^k	k	355
n$	n	269
^d	d	250
a	a	241
^l	l	230
ᶜ	ᶜ/³	223
əu	əu	219
t$	t	213
^m	m	196
^j	j	183
^p	p	182
ɐ	ɐ	175
^ɣ	ɣ	162
^ʔ	ʔ	161
^b	b	159
nᶜ$	n ᶜ/³	158
^s	s	156
ei	ei	147
^kʰ	kʰ	143
_3$	NULL	135
ᴮ	ᴮ/²	135
nᴮ$	n ᴮ/²	125
ŋᶜ$	ŋ ᶜ/³	115
u$	u	114
^tś	tɕ	113
ŋᴮ$	ŋ ᴮ/²	110
^ŋ	ŋ	106
^x	x	106
_4$	NULL	102
^ts	ts	102
o	o	102
m$	m	97
^t	t	96
ậi	ậi/ʌi	95
p$	p	93
iᶜ$	i ᶜ/³	91
z	z	91
^g	g	90
^ś	ɕ	87
^ḍ	ɖ	86
o$	o	84
^tsʰ	tsʰ	79
^tʰ	tʰ	79
^ńź	ʑ	79
uᴮ$	u ᴮ/²	78
oᴮ$	o ᴮ/²	75
w	w	74
ă	ă/a	70
mᴮ$	m ᴮ/²	67
uᶜ$	u ᶜ/³	66
^pʰ	pʰ	65
oᶜ$	o ᶜ/³	64
^ṭ	ʈ	62
^ź	ʑ	61
^ṣ	ʂ	57
^n	n	56
ậ	ậ/ʌ	55
-	+	51
eu	eu	44
i$	i	44
^jw	jw/ɥ	41
^z	z	40
å	å/ɑ	39
ɛ	ɛ	38
ɨᴮ$	ɨ ᴮ/²	37
^tśʰ	tɕʰ	37
n	n	36
au	au	36
eᴮ$	e ᴮ/²	36
t	t	36
e$	e	36
â$	â/ɑ	35
mᶜ$	m ᶜ/³	35
ɨ$	ɨ	35
a$	a	34
aᶜ$	a ᶜ/³	32
ɨᶜ$	ɨ ᶜ/³	30
âi	âi/ɑi	28
^dź	dʑ	27
aᴮ$	a ᴮ/²	26
âᴮ$	â/ɑ ᴮ/²	26
^ṇ	n̩	26
^tṣʰ	ʈʂʰ	25
^tṣ	ʈʂ	25
^dẓ	ɖʐ	25
^ṭʰ	ʈʰ	25
^ɣw	ɣ w	25
ai	ai	23
nᴮ	n ᴮ/²	23
iᴮ$	i ᴮ/²	21
iᶜ	i ᶜ/³	20
^kw	kʷ	19
âᶜ$	â/ɑ ᶜ/³	18
eᶜ$	e ᶜ/³	16
k	k	14
eᴮ	e ᴮ/²	13
l	l	13
iᴮ	i ᴮ/²	12
_$	NULL	12
m	m	12
nᶜ	n ᶜ/³	11
ŋ	ŋ	10
eᶜ	e ᶜ/³	9
^mw	m w	9
mᴮ	m ᴮ/²	8
əi	əi	8
^pw	p w	7
uᶜ	u ᶜ/³	7
d	d	7
^xw	x w	7
^śjäk	ɕ j ä/æ k	6
^kʰw	kʰ w	6
p	p	5
ŋᴬ$	ŋ ᴬ/¹	5
_	NULL	5
^ʔw	ʔ w	5
^źw	ʑ w	4
uᴮ	u ᴮ/²	4
^bw	b w	3
ḍ	ɖ	3
^ḍw	ɖ w	3
-$	NULL	3
^zw	z w	3
ŋᴮ	ŋ ᴮ/²	3
3	NULL	3
^tsw	ts w	3
g	g	2
mᶜ	m ᶜ/³	2
^ŋw	ŋ w	2
ńź	ńź/ȵ	2
_4	NULL	2
kʰ	kʰ	2
oᴮ	o ᴮ/²	2
ɨᴮ	ɨ ᴮ/²	2
mᴬ$	m ᴬ/¹	2
3_$	NULL	2
^nź	ʑ	2
^sw	s w	2
zw	z w	2
˗	+	1
əᴮ$	ə ᴮ/²	1
h	h	1
^tsʰw	tsʰ w	1
.	NULL	1
^ph	pʰ	1
b	b	1
ɨ	ɨ	1
âᴮ	â/ɑ ᴮ/²	1
pʰ	pʰ	1
ou	ou	1
^g$	g	1
ɨᶜ	ɨ ᶜ/³	1
ɣ	ɣ	1
^k$	k	1
ṇ	n̩	1
nᴬ²	n ᴬ/²	1
ɑ	ɑ	1
gᴮ$	g ᴮ/²	1
^ṣwiᶜ	ʂ w i ᶜ/³	1
^ṣwanᶜ	ʂ w a n ᶜ/³	1
^nw	n w	1
_LH	NULL	1
âᶜ	â/ɑ ᶜ/³	1
xw	x w	1
ŋᶜ	ŋ ᶜ/³	1
ii	ii/i	1
ts	ts	1
^ṣwi	ʂ w i	1
^św	ɕ w	1
tʰ	tʰ	1
ṣ	ʂ	1
^iᶜ$	i ᶜ/³	1
oᴬ$	o ᴬ/¹	1
ᴬ	ᴬ/¹	1
^ṭw	ʈ w	1
_?$	NULL	1
